cd_grupo;part_type_id;is_generic;needs_side;needs_position;needs_axle;needs_engine;needs_variant
1;2;False;False;False;True;False;False
1;3;False;True;False;False;False;False
1;5;False;False;False;True;False;False
1;6;False;False;False;False;True;False
1;7;False;False;False;False;True;False
1;8;False;False;False;False;True;True
1;10;True;False;False;False;True;True
1;12;False;False;False;False;True;False
1;13;False;False;False;False;True;False
1;14;False;False;False;False;True;False
1;16;False;False;False;False;True;False
1;17;False;False;False;False;True;False
1;18;False;False;False;True;False;False
1;19;False;False;False;True;False;False
1;20;True;False;False;False;True;True
1;22;False;False;False;False;True;False
1;25;False;False;False;False;True;False
1;26;False;True;False;True;False;False
2;2;False;False;False;True;False;False
2;6;False;False;False;False;True;False
3;1;False;False;False;False;False;False
3;2;False;False;False;False;False;False
3;3;False;True;False;False;False;False
3;5;False;False;False;True;False;False
3;6;False;False;False;False;True;False
3;8;False;False;False;False;True;True
3;10;True;False;False;False;True;True
3;12;False;False;False;False;True;False
3;13;False;False;False;False;True;False
3;14;False;False;False;False;True;False
3;15;False;True;False;True;False;False
3;16;False;False;False;False;True;False
3;17;False;False;False;False;True;False
3;18;False;False;False;True;False;False
3;19;False;False;False;True;False;False
3;20;True;False;False;False;True;True
3;22;False;False;False;False;True;False
3;24;False;False;False;False;True;False
3;25;False;False;False;False;True;False
3;27;False;True;False;False;False;False
4;1;False;True;False;False;False;False
4;2;False;False;False;True;False;False
4;3;False;True;False;False;False;False
4;4;False;True;False;False;False;False
5;1;False;True;False;False;False;False
5;2;False;False;False;True;False;False
5;3;False;True;False;False;False;False
5;5;False;False;False;True;False;False
5;6;False;False;False;False;True;False
5;8;False;False;False;False;True;True
5;9;False;False;False;False;True;True
6;1;False;True;False;False;False;False
6;2;False;False;False;True;False;False
6;5;False;False;False;True;False;False
6;7;False;False;False;False;True;False
6;8;False;False;False;False;True;True
6;10;True;False;False;False;True;True
6;11;False;False;False;False;True;False
6;12;False;False;False;False;True;False
6;13;False;False;False;False;True;False
6;14;False;False;False;False;True;False
6;16;False;False;False;False;True;False
6;17;False;False;False;False;True;False
6;18;False;False;False;True;False;False
6;19;False;False;False;True;False;False
6;20;True;False;False;False;True;True
6;21;False;False;False;False;True;False
7;1;False;True;False;False;False;False
7;2;False;False;False;True;False;False
7;3;False;True;False;False;False;False
7;4;False;True;False;False;False;False
7;6;False;False;False;False;True;False
7;7;False;False;False;False;True;False
7;8;False;False;False;False;True;True
